id,categories
0,7
1,11
2,9
3,6
4,9
5,7
6,8
7,8
8,5
9,3
10,10
11,10
12,7
13,7
14,0
15,9
16,4
17,10
18,6
19,0
20,0
21,0
22,1
23,5
24,0
25,10
26,3
27,3
28,10
29,0
30,6
31,7
32,5
33,9
34,9
35,2
36,9
37,1
38,5
39,0
40,6
41,6
42,5
43,10
44,2
45,2
46,6
47,10
48,5
49,6
50,11
51,0
52,5
53,9
54,9
55,2
56,1
57,5
58,5
59,7
60,7
61,1
62,4
63,0
64,9
65,9
66,2
67,9
68,2
69,2
70,10
71,0
72,5
73,1
74,2
75,1
76,0
77,0
78,6
79,0
80,10
81,4
82,5
83,5
84,3
85,0
86,5
87,9
88,3
89,7
90,0
91,3
92,1
93,0
94,1
95,0
96,1
97,5
98,8
99,6
100,1
101,1
102,6
103,1
104,6
105,11
106,1
107,2
108,10
109,6
110,7
111,2
112,11
113,10
114,0
115,10
116,2
117,4
118,3
119,4
120,9
121,2
122,7
123,1
124,8
125,7
126,6
127,9
128,1
129,4
130,2
131,1
132,4
133,5
134,5
135,9
136,5
137,5
138,1
139,11
140,1
141,5
142,1
143,8
144,6
145,6
146,11
147,10
148,0
149,11
150,10
151,8
152,4
153,4
154,1
155,10
156,2
157,4
158,5
159,5
160,1
161,7
162,9
163,7
164,4
165,8
166,2
167,2
168,11
169,1
170,6
171,5
172,11
173,8
174,1
175,3
176,0
177,1
178,2
179,0
180,2
181,11
182,7
183,0
184,7
185,5
186,0
187,11
188,2
189,10
190,10
191,0
192,2
193,2
194,2
195,5
196,1
197,3
198,1
199,1
200,11
201,10
202,5
203,0
204,0
205,5
206,1
207,9
208,1
209,1
210,5
211,5
212,10
213,7
214,0
215,0
216,10
217,4
218,1
219,2
220,8
221,1
222,0
223,9
224,10
225,11
226,6
227,3
228,11
229,7
230,5
231,0
232,1
233,7
234,7
235,4
236,2
237,1
238,0
239,1
240,9
241,1
242,8
243,7
244,9
245,5
246,1
247,3
248,0
249,5
250,3
251,0
252,4
253,6
254,9
255,2
256,1
257,1
258,2
259,6
260,1
261,6
262,3
263,3
264,5
265,5
266,1
267,11
268,11
269,7
270,11
271,4
272,1
273,0
274,7
275,5
276,3
277,5
278,10
279,1
280,5
281,6
282,7
283,1
284,1
285,1
286,0
287,0
288,0
289,6
290,7
291,3
292,1
293,6
294,2
295,0
296,9
297,7
298,6
299,1
300,7
301,2
302,6
303,6
304,1
305,10
306,3
307,5
308,0
309,1
310,7
311,7
312,1
313,8
314,5
315,5
316,9
317,4
318,1
319,11
320,1
321,1
322,6
323,4
324,2
325,5
326,2
327,9
328,6
329,10
330,8
331,3
332,3
333,9
334,6
335,5
336,6
337,4
338,7
339,0
340,6
341,5
342,2
343,8
344,11
345,3
346,9
347,6
348,2
349,7
350,3
351,7
352,3
353,9
354,6
355,4
356,9
357,8
358,8
359,2
360,6
361,0
362,6
363,11
364,7
365,2
366,7
367,1
368,9
369,1
370,5
371,0
372,9
373,3
374,2
375,0
376,9
377,4
378,7
379,0
380,1
381,5
382,4
383,5
384,5
385,0
386,4
387,7
388,9
389,9
390,7
391,5
392,5
393,4
394,11
395,10
396,10
397,11
398,11
399,6
400,0
401,6
402,0
403,1
404,6
405,8
406,10
407,6
408,6
409,6
410,0
411,5
412,3
413,5
414,10
415,6
416,2
417,5
418,4
419,1
420,7
421,11
422,5
423,3
424,2
425,9
426,6
427,2
428,1
429,9
430,11
431,3
432,2
433,9
434,4
435,6
436,1
437,2
438,9
439,8
440,9
441,11
442,9
443,11
444,0
445,9
446,2
447,7
